time,coin,dir,px,sz,ntl,fee,closedPnl
4/6/2026 - 04:44:16,ETH,Close Long,2131.3,0.0082,17.476660000000003,0.007549,0.063791
4/6/2026 - 07:17:47,ETH,Open Long,2130.6,0.0081,17.257859999999997,0.007455,-0.007455
4/6/2026 - 07:28:22,LINK,Open Long,8.9403,1.9,16.98657,0.007338,-0.007338
4/6/2026 - 07:49:37,XRP,Open Long,1.3385,12,16.062,0.006938,-0.006938
4/6/2026 - 08:00:07,SOL,Open Long,81.854,0.21,17.189339999999998,0.007425,-0.007425
4/6/2026 - 08:00:10,AAVE,Open Long,95.629,0.18,17.21322,0.007436,-0.007436
4/6/2026 - 08:21:29,LINK,Close Long,8.95,0.4,3.58,0.001546,0.002334
4/6/2026 - 08:21:29,LINK,Close Long,8.9479,1.5,13.421850000000001,0.005798,0.005602
4/6/2026 - 08:32:07,DOGE,Open Long,0.092102,187,17.223074,0.00744,-0.00744
4/6/2026 - 10:50:10,XRP,Close Long,1.3398,12,16.0776,0.006945,0.008655
4/6/2026 - 11:27:13,SOL,Close Long,82.513,0.21,17.32773,0.007485,0.13090500000000002
4/6/2026 - 11:27:23,ETH,Close Long,2159.1,0.0081,17.488709999999998,0.007555,0.223295
4/6/2026 - 12:46:38,AAVE,Close Long,97.468,0.18,17.54424,0.007579,0.323441
4/6/2026 - 13:07:54,DOGE,Close Long,0.092857,187,17.364259,0.007501,0.133684
4/6/2026 - 18:21:17,MERL,Open Long,0.02454,713,17.49702,0.007558,-0.007558
4/6/2026 - 23:57:01,SOL,Open Short,81.411,0.21,17.09631,0.007385,-0.007385
4/7/2026 - 00:13:05,DOGE,Open Short,0.091286,190,17.344340000000003,0.007492,-0.007492
4/7/2026 - 00:55:55,ETH,Open Short,2113.8,0.0081,17.12178,0.007396,-0.007396
4/7/2026 - 01:01:10,AAVE,Open Short,93.118,0.18,16.761239999999997,0.00724,-0.00724
4/7/2026 - 01:01:15,LINK,Open Short,8.7871,1.9,16.69549,0.007212,-0.007212
4/7/2026 - 01:01:21,XRP,Open Short,1.314,13,17.082,0.007379,-0.007379
4/7/2026 - 01:11:59,DOGE,Close Short,0.090268,190,17.15092,0.007409,0.186011
4/7/2026 - 01:38:52,ETH,Close Short,2097.1,0.0081,16.98651,0.007338,0.127932
4/7/2026 - 01:44:06,SOL,Close Short,80.074,0.21,16.81554,0.007264,0.273506
4/7/2026 - 02:16:30,ETH,Open Short,2116.1,0.008,16.9288,0.007313,-0.007313
4/7/2026 - 02:48:32,SOL,Open Short,79.811,0.21,16.76031,0.00724,-0.00724
4/7/2026 - 03:04:41,DOGE,Open Short,0.090634,189,17.129826,0.0074,-0.0074
4/7/2026 - 03:20:51,ETH,Close Short,2114,0.0053,11.2042,0.00484,0.00629
4/7/2026 - 03:20:51,ETH,Close Short,2114,0.0027,5.707800000000001,0.002465,0.0032049999999999995
4/7/2026 - 04:19:38,SOL,Close Short,79.635,0.21,16.72335,0.007224,0.029736
4/7/2026 - 04:25:06,LINK,Close Short,8.7731,1.9,16.668889999999998,0.0072,0.0194
4/7/2026 - 04:41:05,AAVE,Close Short,92.8,0.18,16.704,0.007216,0.050024
4/7/2026 - 07:31:07,kPEPE,Close Long,0.003349,4839,16.205811,0.007,-1.211911
4/7/2026 - 07:31:23,MERL,Close Long,0.02227,713,15.87851,0.006859,-1.6253689999999998
4/7/2026 - 08:08:18,AAVE,Open Short,91.982,0.18,16.55676,0.007152,-0.007152
4/7/2026 - 08:13:40,LINK,Open Short,8.7374,1.9,16.601059999999997,0.007171,-0.007171
4/7/2026 - 08:29:27,SOL,Open Short,79.493,0.21,16.69353,0.007211,-0.007211
4/7/2026 - 08:45:32,ETH,Open Short,2100.4,0.0081,17.01324,0.007349,-0.007349
4/7/2026 - 08:56:10,XRP,Close Short,1.3106,13,17.0378,0.00736,0.036840000000000005
4/7/2026 - 10:04:55,AAVE,Close Short,91.812,0.18,16.526159999999997,0.007139,0.023461
